#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:35:48 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebfdcb5f39b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/618/A93&tab:{J/A+A/618/A93/table1}&key:source=J/A+A/618/A93/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/618/A93/table1
#-order=I
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=r50
#-out=Nstars
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=plx
#-out=s_plx
#-out=e_plx
#-out=dmode
#-out=dmode+01
#-out=dmode-01
#-out=X
#-out=Y
#-out=Z
#-out=Rgc
#-out=SimbadName
#

#RESOURCE=yCat_36180093
#Name: J/A+A/618/A93
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)
#Table	J_A_A_618_A93_table1:
#Name: J/A+A/618/A93/table1
#Title: Summary of mean parameters for the OCs characterised in this study
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Cluster	(a17)	Cluster name (cluster)	[ucd=meta.id.parent]
#Column	RAJ2000	(F7.3)	[] Mean right ascension of members (J2000) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Mean declination of members (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F7.3)	Mean Galactic longitude of members (l)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Mean Galactic latitude of members (b)	[ucd=pos.galactic.lat]
#Column	r50	(F6.3)	Radius containing half the members (r50)	[ucd=phys.angSize;src]
#Column	Nstars	(I4)	Number of members (probability over 0.5) (nbstars)	[ucd=meta.number]
#Column	pmRA	(F7.3)	Mean proper motion along RA of members (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F6.3)	Standard deviation of pmRA of members (sigpmra)	[ucd=stat.stdev;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members(pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F6.3)	Standard deviation of pmdec of members (sigpmdec)	[ucd=stat.stdev]
#Column	plx	(F6.3)	Mean parallax of members (par)	[ucd=pos.parallax.trig]
#Column	s_plx	(F6.3)	Standard deviation of parallax of members (sigpar)	[ucd=stat.stdev;pos.parallax]
#Column	e_plx	(F6.3)	Standard deviation of parallax of members over square root of nbstars (uncertpar)	[ucd=stat.error;pos.parallax]
#Column	dmode	(F7.1)	Most likely distance (dmode)	[ucd=pos.distance]
#Column	dmode+01	(F6.1)	Distance if +0.1mas added to parallax (dmodePLUS01)	[ucd=pos.distance]
#Column	dmode-01	(F7.1)	? Distance if -0.1mas added to parallax null if mean parallax under 0.1mas (dmodeMINUS01)	[ucd=pos.distance]
#Column	X	(F8.1)	X coordinate in Galactic coordinates (X)	[ucd=pos.cartesian.x;pos.galactic]
#Column	Y	(F8.1)	Y coordinate in Galactic coordinates (Y)	[ucd=pos.cartesian.y;pos.galactic]
#Column	Z	(F7.1)	Z coordinate in Galactic coordinates (Z)	[ucd=pos.cartesian.z;pos.galactic]
#Column	Rgc	(F7.1)	Distance from Galactic centre assuming the Sun is at 8340pc (Rgc)	[ucd=pos.distance]
#Column	SimbadName	(a25)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Cluster;RAJ2000;DEJ2000;GLON;GLAT;r50;Nstars;pmRA;s_pmRA;pmDE;s_pmDE;plx;s_plx;e_plx;dmode;dmode+01;dmode-01;X;Y;Z;Rgc;SimbadName
081.19800;+01.65500;ASCC_16          ;081.198;+01.655;201.139;-18.373; 0.376; 226;  1.355; 0.265; -0.015; 0.248; 2.838; 0.104; 0.008;  348.8; 337.0;  361.4;  -308.7;  -119.4; -109.9; 8649.6;[KPR2005] 16
081.98200;-01.98700;ASCC_19          ;081.982;-01.987;204.914;-19.438; 0.605; 188;  1.152; 0.252; -1.234; 0.219; 2.768; 0.089; 0.007;  357.6; 345.2;  370.9;  -305.8;  -142.1; -119.0; 8647.0;[KPR2005] 19
082.17900;+03.52700;ASCC_21          ;082.179;+03.527;199.938;-16.598; 0.410; 131;  1.404; 0.263; -0.632; 0.238; 2.866; 0.131; 0.012;  345.5; 333.9;  357.8;  -311.2;  -112.9;  -98.7; 8652.0;[KPR2005] 21
095.04700;+46.71000;ASCC_23          ;095.047;+46.710;167.472; 14.416; 0.319; 129;  1.098; 0.179; -0.598; 0.182; 1.594; 0.061; 0.006;  616.3; 580.5;  656.8;  -582.7;   129.5;  153.4; 8923.6;[KPR2005] 23
103.57100;-01.67000;ASCC_29          ;103.571;-01.670;214.743; -0.128; 0.137;  54; -1.008; 0.130; -1.019; 0.115; 0.944; 0.063; 0.009; 1027.2; 931.6; 1144.8;  -844.1;  -585.4;   -2.3; 9202.7;[KPR2005] 29
104.27100;-06.23000;ASCC_30          ;104.271;-06.230;219.119; -1.587; 0.270;  59; -1.595; 0.116; -0.171; 0.072; 0.897; 0.045; 0.006; 1080.4; 975.0; 1211.3;  -837.9;  -681.4;  -29.9; 9203.1;[KPR2005] 30
105.71400;-26.51200;ASCC_32          ;105.714;-26.512;237.976; -9.433; 0.656; 259; -3.307; 0.181;  3.477; 0.127; 1.230; 0.062; 0.004;  794.6; 736.1;  863.2;  -415.7;  -664.6; -130.2; 8780.8;[KPR2005] 32
116.67400;+00.13700;ASCC_41          ;116.674;+00.137;219.206; 12.333; 0.679; 127;  0.646; 0.241; -3.990; 0.221; 3.352; 0.117; 0.011;  295.8; 287.3;  304.8;  -223.9;  -182.6;   63.2; 8565.8;[KPR2005] 41
153.65700;-55.00100;ASCC_58          ;153.657;-55.001;281.671;  1.263; 0.592; 137;-13.276; 0.210;  2.786; 0.271; 2.060; 0.055; 0.006;  478.6; 456.8;  502.7;    96.8;  -468.6;   10.5; 8256.5;[KPR2005] 58
026.84600;+57.72200;ASCC_6           ;026.846;+57.722;130.369; -4.340; 0.188; 133; -0.838; 0.110;  0.211; 0.099; 0.621; 0.041; 0.004; 1537.6;1332.7; 1817.0;  -993.1;  1168.1; -116.4; 9405.9;[KPR2005] 6
168.36700;-55.43700;ASCC_66          ;168.367;-55.437;289.280;  4.816; 0.097;  22;-11.331; 0.104;  2.969; 0.090; 0.999; 0.045; 0.009;  972.9; 886.6; 1077.8;   320.1;  -915.1;   81.7; 8071.9;[KPR2005] 66
175.28000;-61.01300;ASCC_67          ;175.280;-61.013;294.515;  0.704; 0.183;  46; -6.766; 0.066;  0.919; 0.063; 0.482; 0.025; 0.004; 1958.7;1637.9; 2435.8;   812.7; -1782.0;   24.1; 7735.4;[KPR2005] 67
185.03300;-67.50900;ASCC_71          ;185.033;-67.509;299.936; -4.820; 0.255;  93; -9.272; 0.123; -1.351; 0.154; 0.786; 0.045; 0.005; 1227.6;1093.4; 1399.4;   610.5; -1060.1; -103.2; 7801.9;[KPR2005] 71
189.28100;-67.20300;ASCC_73          ;189.281;-67.203;301.542; -4.370; 0.988;  68;-11.539; 0.314; -2.945; 0.462; 1.518; 0.124; 0.016;  646.3; 607.1;  691.0;   337.1;  -549.2;  -49.2; 8021.7;[KPR2005] 73
212.69400;-62.33100;ASCC_77          ;212.694;-62.331;311.999; -0.864; 0.179; 150; -4.243; 0.110; -3.220; 0.130; 0.842; 0.045; 0.004; 1148.2;1029.9; 1297.1;   768.2;  -853.2;  -17.3; 7619.7;[KPR2005] 77
229.73100;-60.79800;ASCC_79          ;229.731;-60.798;319.977; -2.905; 0.980; 129; -2.914; 0.375; -4.232; 0.472; 1.176; 0.067; 0.006;  829.7; 766.1;  904.8;   634.6;  -532.9;  -42.0; 7723.8;[KPR2005] 79
251.85300;-45.55500;ASCC_85          ;251.853;-45.555;339.815; -0.259; 0.357; 119;  0.170; 0.124; -4.102; 0.138; 1.119; 0.058; 0.005;  870.7; 801.0;  953.7;   817.2;  -300.4;   -3.9; 7528.8;[KPR2005] 85
255.65800;-28.42100;ASCC_87          ;255.658;-28.421;355.125;  8.093; 0.347;  51; -1.180; 0.146; -3.814; 0.116; 1.270; 0.065; 0.010;  769.8; 714.8;  834.0;   759.4;   -64.8;  108.4; 7580.9;[KPR2005] 87
256.88600;-35.56400;ASCC_88          ;256.886;-35.564;350.010;  2.973; 0.372; 144;  0.919; 0.164; -3.282; 0.142; 1.097; 0.060; 0.005;  888.3; 815.8;  974.9;   873.6;  -153.9;   46.1; 7468.0;[KPR2005] 88
041.67100;+57.74300;ASCC_9           ;041.671;+57.743;137.844; -1.753; 0.215;  88;  0.166; 0.083; -1.099; 0.061; 0.406; 0.028; 0.003; 2297.4;1868.3; 2984.6; -1702.3;  1541.2;  -70.3;10159.9;[KPR2005] 9
264.77700;-34.87400;ASCC_90          ;264.777;-34.874;354.224; -1.954; 0.388;  69; -1.630; 0.162; -2.681; 0.206; 1.713; 0.054; 0.006;  574.1; 542.8;  609.0;   570.8;   -57.7;  -19.6; 7769.4;[KPR2005] 90
279.26300;-19.13900;ASCC_97          ;279.263;-19.139; 14.250; -5.553; 0.140;  37; -2.331; 0.327; -6.508; 0.385; 1.740; 0.086; 0.015;  565.4; 535.2;  599.3;   545.5;   138.5;  -54.7; 7795.8;[KPR2005] 97
282.17000;-18.48800;ASCC_99          ;282.170;-18.488; 16.070; -7.727; 0.643;  71;  5.188; 0.349; -1.311; 0.455; 3.367; 0.106; 0.012;  294.4; 286.0;  303.4;   280.4;    80.8;  -39.6; 8060.0;[KPR2005] 99
013.34300;+49.53600;Alessi_1         ;013.343;+49.536;123.255;-13.335; 0.249;  48;  6.536; 0.105; -6.245; 0.204; 1.390; 0.057; 0.009;  704.8; 658.4;  758.2;  -376.0;   573.5; -162.5; 8734.9;Cl Alessi 1
301.23300;-10.55500;Alessi_10        ;301.233;-10.555; 31.597;-21.058; 0.266;  73;  1.469; 0.208; -7.879; 0.241; 2.233; 0.075; 0.010;  442.0; 423.3;  462.5;   351.4;   216.1; -158.8; 7991.6;Cl Alessi 10
310.87500;+23.87100;Alessi_12        ;310.875;+23.871; 67.488;-11.405; 0.682; 313;  4.303; 0.233; -4.639; 0.180; 1.816; 0.088; 0.006;  542.0; 514.1;  573.0;   203.4;   490.8; -107.2; 8151.4;Cl Alessi 12
051.76200;-35.82100;Alessi_13        ;051.762;-35.821;237.532;-55.941; 1.361;  48; 36.332; 0.931; -4.709; 0.851; 9.584; 0.253; 0.038;  104.0; 103.0;  105.1;   -31.3;   -49.2;  -86.2; 8371.4;Cl Alessi 13
100.76700;+01.67200;Alessi_15        ;100.767;+01.672;210.490; -1.099; 0.008;  17; -0.182; 0.202;  0.469; 0.234; 0.093; 0.082; 0.022; 8228.0;4513.7;46418.9; -7088.9; -4174.0; -157.8;15983.5;Cl Alessi 15
113.85300;-15.09800;Alessi_17        ;113.853;-15.098;231.359;  2.585; 0.022;  27; -1.526; 0.088;  1.557; 0.104; 0.264; 0.058; 0.016; 3418.8;2547.0; 5195.6; -2132.7; -2667.6;  154.2;10807.1;Cl Alessi 17
114.29500;-26.38600;Alessi_18        ;114.295;-26.386;241.421; -2.555; 0.019;  27; -1.261; 0.142;  1.790; 0.300; 0.126; 0.080; 0.017; 6456.7;3923.6;18193.3; -3085.6; -5664.4; -287.8;12752.7;Cl Alessi 18
274.74100;+12.31100;Alessi_19        ;274.741;+12.311; 40.403; 12.710; 0.595;  74; -1.005; 0.223; -7.073; 0.185; 1.710; 0.060; 0.008;  575.0; 543.7;  610.0;   427.1;   363.5;  126.5; 7921.2;Cl Alessi 19
071.60200;+55.19900;Alessi_2         ;071.602;+55.199;152.333;  6.365; 0.554; 177; -0.904; 0.141; -1.046; 0.115; 1.589; 0.070; 0.006;  618.2; 582.2;  658.9;  -544.1;   285.3;   68.5; 8888.7;Cl Alessi 2
002.59300;+58.74200;Alessi_20        ;002.593;+58.742;117.615; -3.705; 0.235; 124;  8.195; 0.293; -2.341; 0.280; 2.311; 0.068; 0.007;  427.3; 409.8;  446.4;  -197.7;   377.8;  -27.6; 8546.0;Cl Alessi 20
107.69000;-09.36300;Alessi_21        ;107.690;-09.363;223.457; -0.014; 0.467; 137; -5.475; 0.194;  2.602; 0.162; 1.720; 0.070; 0.007;  571.8; 540.9;  606.5;  -415.1;  -393.3;   -0.1; 8763.9;Cl Alessi 21
260.76400;-62.69300;Alessi_24        ;260.764;-62.693;328.984;-14.572; 0.466; 163; -0.488; 0.220; -8.999; 0.186; 2.059; 0.067; 0.006;  479.0; 457.0;  503.1;   397.3;  -238.9; -120.5; 7946.3;Cl Alessi 24
109.27500;-46.14200;Alessi_3         ;109.275;-46.142;257.449;-15.064; 1.541; 178; -9.875; 0.447; 11.958; 0.515; 3.566; 0.134; 0.012;  278.1; 270.6;  286.1;   -58.4;  -262.2;  -72.3; 8402.5;Cl Alessi 3
267.69800;-11.85300;Alessi_31        ;267.698;-11.853; 15.339;  7.709; 0.331; 185; -1.164; 0.225; -4.122; 0.206; 1.477; 0.072; 0.006;  663.9; 622.6;  711.1;   634.4;   174.0;   89.1; 7707.5;Cl Alessi 31
341.96100;+46.34200;Alessi_37        ;341.961;+46.342;101.732;-11.380; 0.423; 142;  0.351; 0.135; -1.569; 0.129; 1.384; 0.066; 0.006;  707.9; 661.1;  761.8;  -141.1;   679.5; -139.7; 8508.3;Cl Alessi 37
132.63100;-41.73800;Alessi_43        ;132.631;-41.738;262.546;  1.501; 0.290; 318; -5.546; 0.318;  3.869; 0.342; 1.032; 0.082; 0.005;  942.8; 861.5; 1040.9;  -122.3;  -934.5;   24.7; 8513.7;Cl Alessi 43
295.32500;+01.59200;Alessi_44        ;295.325;+01.592; 40.121;-10.332; 1.296; 220;  0.463; 0.404; -2.325; 0.182; 1.496; 0.220; 0.012;  655.6; 615.2;  701.5;   493.2;   415.6; -117.6; 7857.8;Cl Alessi 44
160.81900;-61.08100;Alessi_5         ;160.819;-61.081;288.058; -1.966; 0.542; 302;-15.411; 0.324;  2.503; 0.348; 2.501; 0.065; 0.004;  395.3; 380.3;  411.6;   122.5;  -375.6;  -13.6; 8226.1;Cl Alessi 5
097.35200;+09.18000;Alessi_53        ;097.352;+09.180;202.259; -0.664; 0.022;  39;  0.431; 0.165; -0.201; 0.166; 0.198; 0.084; 0.014; 4406.0;3056.8; 7854.8; -4077.4; -1668.9;  -51.0;12529.1;Cl Alessi 53
103.07800;+02.19600;Alessi_59        ;103.078;+02.196;211.077;  1.195; 0.006;  17; -0.540; 0.165;  0.283; 0.310; 0.227; 0.075; 0.017; 3903.7;2807.9; 6404.4; -3342.7; -2014.6;   81.4;11855.1;Cl Alessi 59
220.05800;-66.12700;Alessi_6         ;220.058;-66.127;313.643; -5.544; 0.294; 176;-10.472; 0.150; -5.559; 0.163; 1.100; 0.057; 0.005;  885.5; 813.4;  971.5;   608.3;  -637.8;  -85.5; 7758.0;Cl Alessi 6
105.61900;-01.12000;Alessi_60        ;105.619;-01.120;215.188;  1.944; 0.048;  80; -0.830; 0.090; -0.653; 0.091; 0.336; 0.058; 0.007; 2737.0;2148.9; 3768.2; -2235.6; -1576.3;   92.9;10692.4;Cl Alessi 60
284.02600;+21.59700;Alessi_62        ;284.026;+21.597; 52.816;  8.685; 0.256; 145;  0.245; 0.157; -1.074; 0.178; 1.591; 0.064; 0.005;  617.3; 581.5;  658.0;   368.8;   486.2;   93.2; 7986.0;Cl Alessi 62
232.40800;-51.22700;Alessi_8         ;232.408;-51.227;326.501;  4.259; 0.224;  55; -5.899; 0.220; -5.729; 0.173; 1.479; 0.046; 0.007;  663.1; 621.8;  710.2;   551.4;  -365.0;   49.2; 7797.1;Cl Alessi 8
265.97400;-47.02800;Alessi_9         ;265.974;-47.028;344.269; -9.058; 1.730; 194;  9.916; 0.711; -9.157; 0.624; 4.822; 0.259; 0.020;  206.1; 202.0;  210.5;   195.9;   -55.2;  -32.4; 8144.3;Cl Alessi 9
304.12700;+52.05100;Alessi_Teutsch_11;304.127;+52.051; 87.435;  9.268; 0.257; 119; -0.139; 0.163; -1.295; 0.151; 1.520; 0.051; 0.005;  645.7; 606.6;  690.3;    28.5;   636.7;  104.0; 8335.8;Name Alessi Teutsch 11
255.42100;-58.98100;Alessi_Teutsch_12;255.421;-58.981;330.635;-10.337; 0.489;  44; -2.134; 0.168; -8.952; 0.124; 1.632; 0.057; 0.009;  602.2; 568.0;  640.8;   516.3;  -290.5; -108.1; 7829.1;Name Alessi-Teutsch 12
118.22800;-53.02200;Alessi_Teutsch_3 ;118.228;-53.022;266.426;-12.849; 0.491;  95; -5.378; 0.161;  8.926; 0.180; 1.417; 0.046; 0.005;  691.6; 646.9;  743.0;   -42.0;  -673.0; -153.8; 8409.0;Name Alessi Teutsch 3
332.21800;+61.10300;Alessi_Teutsch_5 ;332.218;+61.103;104.536;  4.179; 0.427; 158; -1.895; 0.489; -3.207; 0.232; 1.111; 0.062; 0.005;  876.8; 806.1;  961.0;  -219.5;   846.5;   63.9; 8601.2;Name Alessi-Teutsch 5
180.64900;-60.93500;Alessi_Teutsch_8 ;180.649;-60.935;297.033;  1.376; 0.298; 341; -6.625; 0.136;  1.630; 0.136; 0.967; 0.049; 0.003; 1004.0; 912.4; 1116.0;   456.2;  -894.0;   24.1; 7934.3;Name Alessi Teutsch 8
281.07900;-04.93100;Andrews_Lindsay_5;281.079;-04.931; 27.733; -0.667; 0.023;  96; -0.901; 0.142; -3.562; 0.177; 0.137; 0.113; 0.012; 6014.6;3755.3;15122.1;  5323.3;  2798.7;  -70.0; 4115.0;[AL67] Cl* 5
262.46200;-32.54100;Antalova_2       ;262.462;-32.541;355.141;  0.929; 0.097;  35;  2.037; 0.307; -1.650; 0.307; 0.842; 0.068; 0.013; 1148.4;1029.9; 1297.3;  1144.1;   -97.3;   18.6; 7196.5;Cl Antalova 2
