#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:33:37 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebfe1663d08	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/260/8&tab:{J/ApJS/260/8/params}&key:source=J/ApJS/260/8/params&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/260/8/params
#-order=I
#-out=Cluster
#-out=GLON
#-out=s_GLON
#-out=GLAT
#-out=s_GLAT
#-out=Plx
#-out=s_Plx
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=RV
#-out=s_RV
#-out=o_RV
#-out=m-M
#-out=AG
#-out=logAge
#-out=Z
#-out=N70
#-out=minProb
#-out=NminProb
#-out=Class
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_22600008
#Name: J/ApJS/260/8
#Title: 541 new open cluster candidates (He+, 2022)
#Coosys	G:	galactic
#Table	J_ApJS_260_8_params:
#Name: J/ApJS/260/8/params
#Title: Parameters of median astrometric values and isochrone fits for 541 new open cluster candidates
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Cluster	(I3)	[1/541] Cluster CWNU ID (cluster)	[ucd=meta.id;meta.main]
#Column	GLON	(F7.3)	Galactic longitude (l)	[ucd=pos.galactic.lon]
#Column	s_GLON	(F5.2)	Longitude dispersion (sigma_l)	[ucd=instr.dispersion]
#Column	GLAT	(F7.3)	Galactic latitude (b)	[ucd=pos.galactic.lat]
#Column	s_GLAT	(F5.2)	Latitude dispersion (sigma_b)	[ucd=instr.dispersion]
#Column	Plx	(F5.2)	Parallax (Parallax)	[ucd=pos.parallax]
#Column	s_Plx	(F5.2)	Parallax dispersion (sigma_Parallax)	[ucd=stat.error]
#Column	pmRA	(F6.2)	Proper motion along RA, pmRA*cosDE (pmRA*)	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F5.2)	pmRA dispersion (sigma_pmRA*)	[ucd=pos.pm]
#Column	pmDE	(F6.2)	Proper motion along DE (pmDEC)	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F5.2)	pmDE dispersion (sigma_pmDEC)	[ucd=pos.pm]
#Column	RV	(A5)	? Radial velocity (RV)	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(A4)	? RV dispersion (sigma_RV)	[ucd=instr.dispersion]
#Column	o_RV	(I1)	? Stars used to compute RV (N_RV) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	m-M	(F5.2)	RV dispersion (N_RV>1)|RV error(N_RV=1)) (m-M)	[ucd=stat.variance]
#Column	AG	(F5.2)	G band extinction (A_G)	[ucd=phys.absorption]
#Column	logAge	(F4.1)	Logarithmic age (log(age/yr))	[ucd=time.age]
#Column	Z	(F6.3)	Metallicity (Z)	[ucd=phys.abund.Z]
#Column	N70	(I3)	Number of member stars with Pcl>0.7 (N_70)	[ucd=meta.number]
#Column	minProb	(F5.2)	Minimum Pcl used for statistics (min_prob)	[ucd=stat.fit.goodness]
#Column	NminProb	(I3)	Number of member stars with Pcl>minProb (N_min_prob)	[ucd=meta.number]
#Column	Class	(I1)	[1/3] Classification (class)	[ucd=meta.code.class]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Cluster;GLON;s_GLON;GLAT;s_GLAT;Plx;s_Plx;pmRA;s_pmRA;pmDE;s_pmDE;RV;s_RV;o_RV;m-M;AG;logAge;Z;N70;minProb;NminProb;Class;_RA.icrs;_DE.icrs
278.10959;-10.58167; 43;021.362; 0.12;-00.647; 0.08; 0.48; 0.06;  0.51; 0.17; -0.16; 0.11;-10.4; 0.1;1;11.05; 4.15; 7.8; 0.010;173; 0.70;173;1;278.1096;-10.5817
277.26341;-12.71970; 44;019.083; 0.10;-00.902; 0.09; 0.45; 0.04;  0.63; 0.14; -1.66; 0.13; 17.4; 0.9;3;11.15; 2.70; 8.1; 0.018;240; 0.70;240;1;277.2634;-12.7197
107.84491;-27.91078; 45;240.090; 0.33;-08.343; 0.20; 1.67; 0.05; -3.26; 0.10;  6.35; 0.10; 44.4; 0.8;2; 8.70; 0.05; 7.6; 0.024; 32; 0.72; 32;1;107.8449;-27.9108
301.57684;+29.46127; 46;067.355; 0.13;-01.398; 0.11; 0.74; 0.04;  0.19; 0.11; -1.55; 0.13; -5.5; 0.2;1;10.35; 1.65; 8.3; 0.038; 29; 0.62; 30;1;301.5768;+29.4613
301.61783;+23.78517; 47;062.577; 0.14;-04.473; 0.21; 0.60; 0.02; -1.72; 0.39; -4.64; 0.50;  ---; ---;0;11.85; 1.25; 6.4; 0.008;  6; 0.50; 41;1;301.6178;+23.7852
100.29317;-23.78857; 48;233.351; 0.28;-12.732; 0.21; 0.96; 0.07; -1.34; 0.63;  2.34; 0.39;  ---; ---;0;10.70; 1.35; 7.4; 0.002; 43; 1.00; 43;1;100.2932;-23.7886
113.36851;-17.51639; 49;233.250; 0.03;+01.006; 0.02; 0.38; 0.04; -1.76; 0.08;  2.30; 0.07;  ---; ---;0;11.95; 1.40; 8.6; 0.024; 40; 0.70; 40;1;113.3685;-17.5164
264.35594;-34.78348; 50;354.116; 0.06;-01.613; 0.05; 0.42; 0.02;  1.42; 0.10;  0.32; 0.07;  ---; ---;0;11.30; 3.00; 8.8; 0.036; 36; 0.72; 36;1;264.3559;-34.7835
306.97690;+45.45597; 51;083.006; 0.08;+04.008; 0.05; 0.34; 0.04; -2.52; 0.11; -4.61; 0.12;-48.9; 1.0;1;11.80; 1.65; 8.5; 0.012; 98; 0.70; 98;1;306.9769;+45.4560
072.20562;+26.22660; 52;174.981; 0.35;-11.861; 0.34; 1.62; 0.07; -1.81; 0.27; -2.34; 0.30;  ---; ---;0; 8.85; 2.45; 7.7; 0.006; 41; 0.80; 41;1;072.2056;+26.2266
012.25969;+65.50759; 53;122.683; 0.08;+02.637; 0.07; 0.38; 0.04; -2.61; 0.07; -0.11; 0.09;  ---; ---;0;11.70; 2.05; 7.3; 0.020; 38; 0.71; 38;1;012.2597;+65.5076
120.40606;-54.29658; 54;268.210; 0.56;-12.339; 0.60; 1.34; 0.08; -3.30; 0.76;  6.26; 0.65; 16.9;37.0;4; 9.50; 0.50; 8.9; 0.020;103; 1.00;103;1;120.4061;-54.2966
020.82137;+65.38580; 55;126.243; 0.19;+02.719; 0.09; 0.80; 0.04;  3.54; 0.11; -1.16; 0.11;-35.5; 4.5;3;10.10; 1.90; 8.9; 0.020; 56; 0.96; 56;1;020.8214;+65.3858
345.58238;+69.36729; 56;113.534; 0.24;+08.511; 0.28; 0.77; 0.09; -1.25; 0.34; -1.04; 0.35;-13.5; 0.8;1;10.40; 2.00; 9.0; 0.006; 73; 0.96; 73;1;345.5824;+69.3673
132.12302;-41.00379; 57;261.736; 0.19;+01.670; 0.21; 0.86; 0.04; -3.98; 0.13;  4.50; 0.20; 22.2; 0.4;1;10.05; 1.25; 8.8; 0.038; 34; 0.79; 34;1;132.1230;-41.0038
341.89910;+60.90767; 58;108.441; 0.40;+01.569; 0.34; 1.15; 0.04; -0.50; 0.43; -2.49; 0.38;  ---; ---;0;10.15; 0.85; 6.0; 0.010; 88; 0.70; 88;1;341.8991;+60.9077
128.32722;-47.47649; 59;265.194; 0.20;-04.439; 0.08; 0.73; 0.04; -7.82; 0.14;  7.88; 0.14;  ---; ---;0;10.35; 0.35; 7.9; 0.022; 58; 0.92; 58;1;128.3272;-47.4765
290.49225;+01.44645; 60;037.721; 0.25;-06.123; 0.27; 0.86; 0.07; -0.93; 0.16; -2.13; 0.18;-17.0; 0.6;1;10.70; 1.30; 8.4; 0.040; 98; 0.96; 98;1;290.4923;+01.4465
152.58893;-71.14486; 61;290.589; 0.43;-12.243; 0.34; 1.85; 0.04; -7.86; 0.20;  5.64; 0.28;  9.8; 7.8;6; 8.70; 0.45; 8.3; 0.012; 28; 0.55; 30;1;152.5889;-71.1449
256.70043;-41.58902; 62;345.103; 0.09;-00.528; 0.06; 0.62; 0.04;  1.23; 0.10; -2.02; 0.11;  ---; ---;0;11.00; 3.00; 7.4; 0.012; 55; 0.71; 55;1;256.7004;-41.5890
283.45780;-04.63751; 63;029.074; 0.09;-02.644; 0.08; 0.43; 0.03; -0.65; 0.10; -1.12; 0.08; 26.7; 9.5;2;11.50; 1.90; 8.1; 0.032; 73; 0.70; 73;1;283.4578;-04.6375
305.86157;+31.12703; 64;070.795; 0.22;-03.554; 0.10; 0.51; 0.02; -2.01; 0.20; -5.16; 0.56;  0.2; 6.5;2;10.95; 1.70; 8.8; 0.008; 14; 0.40; 39;1;305.8616;+31.1270
035.63697;+62.54728; 65;133.217; 0.11;+01.509; 0.12; 0.47; 0.02; -0.56; 0.07; -0.38; 0.10;  ---; ---;0;12.70; 2.45; 6.9; 0.040; 23; 0.61; 33;1;035.6370;+62.5473
033.30722;+61.45425; 66;132.542; 0.06;+00.118; 0.07; 0.41; 0.05; -0.09; 0.09; -0.76; 0.11;-45.3; 0.6;1;12.20; 2.95; 7.4; 0.018; 45; 0.70; 45;1;033.3072;+61.4542
302.05001;+32.38425; 67;070.035; 0.05;-00.162; 0.03; 0.59; 0.04; -0.31; 0.05; -1.83; 0.07;  ---; ---;0;11.50; 1.35; 8.7; 0.038; 44; 0.75; 44;1;302.0500;+32.3843
109.13924;-20.79629; 68;234.249; 0.16;-04.065; 0.14; 0.43; 0.04; -1.34; 0.13;  0.48; 0.22;  ---; ---;0;11.20; 0.50; 8.7; 0.038; 66; 1.00; 66;1;109.1392;-20.7963
352.67332;+62.07382; 69;113.631; 0.09;+00.669; 0.05; 0.38; 0.03; -2.60; 0.07; -0.80; 0.05;-51.4;10.2;4;11.70; 3.25; 8.4; 0.004; 43; 0.73; 43;1;352.6733;+62.0738
277.94449;-10.10128; 70;021.713; 0.09;-00.281; 0.10; 0.43; 0.04;  0.63; 0.10; -1.46; 0.11; 31.8; 0.3;1;11.10; 3.30; 9.0; 0.008; 55; 0.71; 55;1;277.9445;-10.1013
017.85472;+57.57446; 71;125.619; 0.04;-05.193; 0.07; 0.42; 0.04; -2.19; 0.11; -1.31; 0.14;  ---; ---;0;12.45; 1.05; 6.8; 0.038; 54; 0.80; 54;1;017.8547;+57.5745
124.25298;-40.31987; 72;257.639; 0.22;-02.724; 0.19; 0.67; 0.04; -4.38; 0.08;  3.94; 0.08; 20.7; 0.2;1;10.55; 1.45; 8.7; 0.038; 69; 0.72; 69;1;124.2530;-40.3199
168.09631;-57.91142; 73;290.063; 0.09;+02.464; 0.06; 0.74; 0.03; -9.07; 0.07;  1.80; 0.08;  ---; ---;0;10.30; 0.40; 7.8; 0.008; 31; 0.77; 31;1;168.0963;-57.9114
021.28831;+57.14956; 74;127.513; 0.45;-05.422; 0.28; 1.06; 0.05;  1.56; 0.15; -2.88; 0.40;  ---; ---;0;10.60; 0.95; 7.5; 0.024; 37; 0.76; 37;1;021.2883;+57.1496
088.02160;+25.84694; 75;183.387; 0.04;-00.362; 0.04; 0.34; 0.05;  0.57; 0.07; -1.46; 0.08;  ---; ---;0;12.55; 2.20; 7.2; 0.022; 41; 0.70; 41;1;088.0216;+25.8469
104.98829;-11.11826; 76;223.799; 0.12;-03.181; 0.18; 0.90; 0.06; -2.96; 0.23;  0.64; 0.16;  ---; ---;0;10.45; 1.35; 7.1; 0.010; 32; 0.70; 32;1;104.9883;-11.1183
044.64850;+71.80630; 77;132.590; 0.64;+11.361; 0.16; 1.17; 0.03; -1.07; 0.19;  0.07; 0.21; 35.6;14.3;1; 9.65; 0.85; 7.9; 0.040; 46; 0.84; 46;1;044.6485;+71.8063
060.49857;+53.37497; 78;149.089; 0.13;+00.470; 0.24; 0.94; 0.06; -0.18; 0.14; -1.11; 0.22;  ---; ---;0;10.45; 1.45; 6.9; 0.018; 24; 0.60; 34;1;060.4986;+53.3750
