#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T22:15:17 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ec07e7139633	
#INFO	-out.max=unlimited	
#INFO	queryParameters=38	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/661/A118&tab:{J/A+A/661/A118/table1}&key:source=J/A+A/661/A118/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A118/table1
#-order=I
#-out=Seq
#-out=Cluster
#-out=RA_ICRS
#-out=s_RA_ICRS
#-out=DE_ICRS
#-out=s_DE_ICRS
#-out=GLON
#-out=s_GLON
#-out=GLAT
#-out=s_GLAT
#-out=plx
#-out=s_plx
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=RV
#-out=s_RV
#-out=Nmemb
#-out=NmembRV
#-out=Flag
#-out=logAge
#-out=Dist
#-out=AV
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36610118
#Name: J/A+A/661/A118
#Title: 628 new open clusters found with OCfinder (Castro-Ginard+, 2022)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_661_A118_table1:
#Name: J/A+A/661/A118/table1
#Title: Mean parameters for the reported UBC clusters
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Seq	(I3)	[0/627] cluster sequential number	[ucd=meta.record]
#Column	Cluster	(A7)	Cluster name (UBCNNN)	[ucd=meta.id.parent]
#Column	RA_ICRS	(F6.2)	Right Ascension mean (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	s_RA_ICRS	(F6.2)	Right Ascension standard deviation	[ucd=pos.eq.ra]
#Column	DE_ICRS	(F6.2)	Declination mean (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	s_DE_ICRS	(F5.2)	Declination standard deviation	[ucd=stat.stdev;pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude mean	[ucd=pos.galactic.lon]
#Column	s_GLON	(F5.2)	Galactic longitude standard deviation	[ucd=stat.stdev;pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude mean	[ucd=pos.galactic.lat]
#Column	s_GLAT	(F5.2)	Galactic latitude standard deviation	[ucd=stat.stdev;pos.galactic.lat]
#Column	plx	(F5.2)	Parallax mean	[ucd=pos.parallax;stat.mean]
#Column	s_plx	(F5.2)	Parallax standard deviation	[ucd=stat.stdev;pos.parallax]
#Column	pmRA	(F5.2)	Proper motion in right ascension mean, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F5.2)	Proper motion in right ascension standard deviation	[ucd=stat.stdev;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion in declination mean	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F5.2)	Proper motion in declination standard deviation	[ucd=stat.stdev;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial velocity mean	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.2)	? Radial velocity standard deviation	[ucd=stat.stdev;spect.dopplerVeloc]
#Column	Nmemb	(I3)	Number of cluster members	[ucd=meta.number]
#Column	NmembRV	(I1)	Number of cluster members with radial velocity measurements	[ucd=meta.number]
#Column	Flag	(A1)	[a] Note (1)	[ucd=meta.code.error]
#Column	logAge	(F6.3)	Logarithm of the cluster age	[ucd=time.age]
#Column	Dist	(F6.1)	Distance to the cluster	[ucd=pos.distance]
#Column	AV	(F6.3)	Line-of-sight extinction	[ucd=phys.absorption]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Seq;Cluster;RA_ICRS;s_RA_ICRS;DE_ICRS;s_DE_ICRS;GLON;s_GLON;GLAT;s_GLAT;plx;s_plx;pmRA;s_pmRA;pmDE;s_pmDE;RV;s_RV;Nmemb;NmembRV;Flag;logAge;Dist;AV;_RA.icrs;_DE.icrs
275.9000;-12.9100; 17;UBC1018;275.90;  0.06;-12.91; 0.06; 18.30; 0.06;  0.19; 0.06; 0.37; 0.04;-0.12; 0.08;-0.71; 0.10; 17.60; 2.50;154;3; ; 8.475;2731.0; 4.087;275.9000;-12.9100
274.1900;-12.0100; 18;UBC1019;274.19;  0.07;-12.01; 0.08; 18.31; 0.08;  2.08; 0.07; 0.49; 0.04;-1.04; 0.08;-0.56; 0.09;-18.55;16.00; 78;5; ; 8.803;2145.0; 3.485;274.1900;-12.0100
277.2600;-12.7200; 19;UBC1020;277.26;  0.08;-12.72; 0.08; 19.08; 0.09; -0.90; 0.07; 0.48; 0.03; 0.63; 0.08;-1.66; 0.08; 17.71; 0.45;111;2; ; 7.752;2317.0; 2.394;277.2600;-12.7200
280.8400;-14.4300; 20;UBC1021;280.84;  0.07;-14.43; 0.04; 19.15; 0.05; -4.78; 0.06; 0.61; 0.01; 0.79; 0.07;-0.77; 0.08;      ;     ; 24;0; ; 7.619;1683.0; 1.905;280.8400;-14.4300
278.3200;-13.0700; 21;UBC1022;278.32;  0.05;-13.07; 0.07; 19.25; 0.06; -1.98; 0.06; 0.40; 0.02;-0.92; 0.06;-0.25; 0.06;      ;     ; 38;0; ; 9.075;2765.0; 1.735;278.3200;-13.0700
278.6800;-13.0100; 22;UBC1023;278.68;  0.07;-13.01; 0.06; 19.46; 0.06; -2.26; 0.07; 0.59; 0.02; 0.65; 0.06;-0.17; 0.07;      ;     ; 40;0; ; 8.292;1869.0; 1.327;278.6800;-13.0100
275.9600;-11.5200; 23;UBC1024;275.96;  0.07;-11.52; 0.07; 19.55; 0.07;  0.79; 0.07; 0.36; 0.06;-1.72; 0.11;-3.63; 0.12;  4.51; 1.39;133;2; ; 8.366;3341.0; 3.410;275.9600;-11.5200
276.1100;-10.5900; 24;UBC1025;276.11;  0.07;-10.59; 0.05; 20.44; 0.05;  1.09; 0.06; 0.35; 0.01;-1.96; 0.08;-4.09; 0.11;      ;     ; 26;0; ; 8.824;2905.0; 3.792;276.1100;-10.5900
278.3700;-10.7300; 25;UBC1026;278.37;  0.06;-10.73; 0.07; 21.35; 0.08; -0.95; 0.04; 0.49; 0.01; 0.38; 0.04;-1.50; 0.08;      ;     ; 24;0; ; 7.546;2246.0; 3.936;278.3700;-10.7300
279.2900;-10.2500; 26;UBC1027;279.29;  0.06;-10.25; 0.06; 22.19; 0.06; -1.53; 0.06; 0.26; 0.05;-1.46; 0.09;-4.43; 0.09;      ;     ;229;0; ; 8.935;3681.0; 3.695;279.2900;-10.2500
278.2500;-09.4200; 27;UBC1028;278.25;  0.03;-09.42; 0.05; 22.46; 0.05; -0.24; 0.04; 0.34; 0.01;-0.06; 0.07;-2.02; 0.06;      ;     ; 20;0; ; 7.818;2887.0; 3.410;278.2500;-09.4200
281.0000;-10.7800; 28;UBC1029;281.00;  0.07;-10.78; 0.06; 22.48; 0.05; -3.26; 0.07; 0.61; 0.03;-1.08; 0.07;-2.68; 0.06;      ;     ; 47;0; ; 7.663;1735.0; 1.543;281.0000;-10.7800
280.7600;-10.0100; 29;UBC1030;280.76;  0.06;-10.01; 0.05; 23.06; 0.04; -2.70; 0.06; 0.47; 0.01; 0.49; 0.05;-0.84; 0.07;      ;     ; 23;0; ; 7.677;2219.0; 1.477;280.7600;-10.0100
280.2200;-09.6700; 30;UBC1031;280.22;  0.04;-09.67; 0.06; 23.13; 0.06; -2.08; 0.03; 0.40; 0.02; 0.74; 0.08;-3.72; 0.06;-25.02;     ; 45;1; ; 9.093;2679.0; 2.787;280.2200;-09.6700
279.5700;-09.2700; 31;UBC1032;279.57;  0.06;-09.27; 0.04; 23.19; 0.05; -1.32; 0.04; 0.29; 0.01;-1.47; 0.05;-3.10; 0.05;      ;     ; 16;0; ; 7.513;3600.0; 3.007;279.5700;-09.2700
278.1200;-06.8700; 32;UBC1033;278.12;  0.08;-06.87; 0.08; 24.66; 0.08;  1.06; 0.08; 0.43; 0.02; 0.02; 0.09;-2.50; 0.07;      ;     ; 34;0; ; 7.451;2532.0; 2.751;278.1200;-06.8700
279.5600;-06.9800; 33;UBC1034;279.56;  0.06;-06.98; 0.05; 25.22; 0.06; -0.26; 0.06; 0.48; 0.02;-0.99; 0.08;-2.31; 0.09;      ;     ; 45;0; ; 6.779;2307.0; 3.365;279.5600;-06.9800
279.7300;-06.4300; 34;UBC1035;279.73;  0.05;-06.43; 0.05; 25.78; 0.05; -0.16; 0.05; 0.38; 0.03;-1.02; 0.08;-1.23; 0.07; 44.32;     ;112;1; ; 8.398;2911.0; 3.189;279.7300;-06.4300
280.1700;-06.5200; 35;UBC1036;280.17;  0.05;-06.52; 0.06; 25.90; 0.06; -0.59; 0.06; 0.34; 0.04;-1.10; 0.08;-4.08; 0.08; 31.58; 0.31;112;3; ; 7.842;3187.0; 2.758;280.1700;-06.5200
280.4000;-06.0000; 36;UBC1037;280.40;  0.07;-06.00; 0.08; 26.47; 0.08; -0.56; 0.07; 0.36; 0.02;-1.51; 0.06;-4.08; 0.08; -9.92; 4.06; 85;4; ; 8.248;3218.0; 2.284;280.4000;-06.0000
279.7800;-05.3600; 37;UBC1038;279.78;  0.06;-05.36; 0.06; 26.75; 0.06;  0.29; 0.06; 0.32; 0.02;-0.67; 0.08;-2.12; 0.07;      ;     ; 51;0; ; 7.237;3228.0; 3.076;279.7800;-05.3600
279.9000;-04.5600; 38;UBC1039;279.90;  0.10;-04.56; 0.09; 27.53; 0.09;  0.55; 0.10; 0.32; 0.04; 0.13; 0.10;-1.35; 0.10;      ;     ; 58;0; ; 7.335;3497.0; 2.590;279.9000;-04.5600
279.9100;-04.5100; 39;UBC1040;279.91;  0.12;-04.51; 0.09; 27.57; 0.08;  0.57; 0.12; 0.45; 0.02;-0.69; 0.10;-2.16; 0.08;      ;     ; 40;0; ; 7.093;2460.0; 2.143;279.9100;-04.5100
280.2800;-04.3600; 40;UBC1041;280.28;  0.07;-04.36; 0.06; 27.88; 0.06;  0.30; 0.07; 0.31; 0.01;-0.75; 0.08;-2.80; 0.06;      ;     ; 35;0;a; 6.748;3404.0; 3.379;280.2800;-04.3600
281.8000;-04.7400; 41;UBC1042;281.80;  0.06;-04.74; 0.06; 28.23; 0.06; -1.22; 0.06; 0.26; 0.02;-1.17; 0.09;-2.49; 0.09;      ;     ; 95;0; ; 8.061;4143.0; 2.298;281.8000;-04.7400
281.2700;-04.1800; 42;UBC1043;281.27;  0.06;-04.18; 0.06; 28.49; 0.06; -0.49; 0.05; 0.45; 0.02;-1.02; 0.05;-1.68; 0.07;      ;     ; 31;0; ; 8.168;2394.0; 2.621;281.2700;-04.1800
283.4600;-04.6500; 43;UBC1044;283.46;  0.05;-04.65; 0.06; 29.06; 0.06; -2.65; 0.05; 0.42; 0.02;-0.64; 0.06;-1.13; 0.06; 20.28;     ; 30;1; ; 8.328;2376.0; 1.745;283.4600;-04.6500
280.9400;-02.8600; 44;UBC1045;280.94;  0.08;-02.86; 0.06; 29.51; 0.07;  0.40; 0.07; 0.45; 0.02;-0.65; 0.08;-2.15; 0.12; 24.32;     ; 54;1; ; 7.331;2687.0; 3.951;280.9400;-02.8600
280.9200;-01.0200; 45;UBC1046;280.92;  0.05;-01.02; 0.06; 31.14; 0.06;  1.26; 0.05; 0.48; 0.02; 0.04; 0.09;-0.67; 0.11;  0.94;     ; 31;1; ; 8.601;2190.0; 2.641;280.9200;-01.0200
282.1900;-01.0500; 46;UBC1047;282.19;  0.07;-01.05; 0.10; 31.69; 0.09;  0.12; 0.08; 0.33; 0.01;-0.61; 0.08;-2.24; 0.07;      ;     ; 34;0; ; 7.178;3140.0; 3.496;282.1900;-01.0500
282.9900;-00.9800; 47;UBC1048;282.99;  0.08;-00.98; 0.08; 32.12; 0.08; -0.56; 0.08; 0.25; 0.02;-0.60; 0.08;-2.11; 0.09;      ;     ; 58;0; ; 8.213;4054.0; 2.556;282.9900;-00.9800
283.8800;-01.2400; 48;UBC1049;283.88;  0.10;-01.24; 0.10; 32.30; 0.10; -1.47; 0.09; 0.32; 0.04;-1.72; 0.09;-4.54; 0.09; 46.76; 1.67;231;3; ; 7.930;3646.0; 2.656;283.8800;-01.2400
283.3300;-00.7100; 49;UBC1050;283.33;  0.07;-00.71; 0.07; 32.51; 0.08; -0.74; 0.07; 0.30; 0.02;-0.22; 0.04;-1.49; 0.06; 20.29;     ; 27;1; ; 8.727;3479.0; 2.350;283.3300;-00.7100
286.4900;+03.3100; 50;UBC1051;286.49;  0.10;+03.31; 0.11; 37.54; 0.11; -1.71; 0.11; 0.33; 0.02;-1.17; 0.10;-3.63; 0.15;107.54;67.03; 80;2; ; 6.871;3317.0; 2.234;286.4900;+03.3100
280.0800;+07.6700; 51;UBC1052;280.08;  0.10;+07.67; 0.06; 38.53; 0.08;  5.95; 0.09; 0.29; 0.02; 1.27; 0.09;-3.49; 0.12;      ;     ; 31;0; ; 9.200;3840.0; 1.299;280.0800;+07.6700
288.7600;+05.9700; 52;UBC1053;288.76;  0.06;+05.97; 0.07; 40.94; 0.08; -2.49; 0.05; 0.27; 0.03;-1.02; 0.09;-3.61; 0.09;  7.77;36.15; 62;2; ; 7.805;4264.0; 2.383;288.7600;+05.9700
283.3200;+10.8800; 53;UBC1054;283.32;  0.07;+10.88; 0.05; 42.84; 0.06;  4.53; 0.06; 0.33; 0.02;-1.19; 0.06;-3.33; 0.09;      ;     ; 27;0; ; 8.399;3020.0; 1.521;283.3200;+10.8800
285.3800;+11.7600; 54;UBC1055;285.38;  0.08;+11.76; 0.09; 44.55; 0.08;  3.13; 0.09; 0.27; 0.03;-1.64; 0.06;-5.55; 0.08;      ;     ; 49;0;a; 8.920;3602.0; 1.930;285.3800;+11.7600
286.1400;+13.4200; 55;UBC1056;286.14;  0.05;+13.42; 0.05; 46.37; 0.05;  3.23; 0.06; 0.52; 0.02;-0.27; 0.06;-4.55; 0.06; -5.47; 0.43; 22;2; ; 8.543;2122.0; 2.195;286.1400;+13.4200
286.7200;+13.2500; 56;UBC1057;286.72;  0.07;+13.25; 0.07; 46.47; 0.07;  2.65; 0.06; 0.29; 0.04;-1.77; 0.09;-4.98; 0.09;-17.64;     ;179;1;a; 8.831;3209.0; 3.092;286.7200;+13.2500
285.1900;+15.8100; 57;UBC1058;285.19;  0.07;+15.81; 0.08; 48.08; 0.08;  5.13; 0.06; 0.46; 0.03;-0.96; 0.06;-4.16; 0.05; 14.12; 0.84; 45;3; ; 9.085;2221.0; 1.480;285.1900;+15.8100
291.3100;+13.9400; 58;UBC1059;291.31;  0.02;+13.94; 0.03; 49.16; 0.03; -0.98; 0.02; 0.29; 0.02;-1.82; 0.07;-4.25; 0.07;      ;     ; 28;0;a; 7.370;3812.0; 4.652;291.3100;+13.9400
292.9700;+16.5600; 59;UBC1060;292.97;  0.06;+16.56; 0.07; 52.23; 0.08; -1.13; 0.04; 0.47; 0.02;-1.10; 0.07;-3.60; 0.07;      ;     ; 47;0; ; 7.676;2474.0; 3.204;292.9700;+16.5600
295.6800;+15.7100; 60;UBC1061;295.68;  0.08;+15.71; 0.07; 52.76; 0.08; -3.82; 0.06; 0.27; 0.03;-2.48; 0.08;-5.88; 0.09;  9.10; 2.18; 79;2; ; 9.114;3712.0; 0.738;295.6800;+15.7100
293.3300;+18.2400; 61;UBC1062;293.33;  0.06;+18.24; 0.06; 53.86; 0.06; -0.62; 0.05; 0.30; 0.02;-2.93; 0.06;-6.04; 0.08;      ;     ; 32;0; ; 8.230;3399.0; 3.388;293.3300;+18.2400
292.4100;+19.4300; 62;UBC1063;292.41;  0.07;+19.43; 0.06; 54.49; 0.06;  0.71; 0.07; 0.20; 0.03;-1.73; 0.07;-4.50; 0.12;      ;     ; 71;0; ; 8.384;5139.0; 3.294;292.4100;+19.4300
297.6600;+19.7200; 63;UBC1064;297.66;  0.10;+19.72; 0.09; 57.18; 0.10; -3.45; 0.08; 0.27; 0.03;-2.72; 0.05;-5.77; 0.07; 26.43; 0.86; 99;2; ; 8.145;3792.0; 1.483;297.6600;+19.7200
298.5600;+19.9200; 64;UBC1065;298.56;  0.05;+19.92; 0.05; 57.79; 0.06; -4.07; 0.05; 0.35; 0.01;-2.55; 0.06;-5.68; 0.04;      ;     ; 12;0; ; 8.076;3155.0; 1.223;298.5600;+19.9200
295.8500;+22.1500; 65;UBC1066;295.85;  0.06;+22.15; 0.04; 58.43; 0.05; -0.76; 0.04; 0.37; 0.02;-3.17; 0.10;-6.48; 0.08;      ;     ; 37;0; ; 7.292;2766.0; 3.103;295.8500;+22.1500
294.6600;+23.9500; 66;UBC1067;294.66;  0.07;+23.95; 0.06; 59.46; 0.06;  1.07; 0.07; 0.18; 0.03;-2.16; 0.06;-5.35; 0.06;      ;     ; 54;0; ; 8.152;5107.0; 2.542;294.6600;+23.9500
297.8300;+22.7000; 67;UBC1068;297.83;  0.07;+22.70; 0.06; 59.83; 0.06; -2.07; 0.07; 0.29; 0.02;-2.37; 0.06;-5.66; 0.09;      ;     ; 30;0; ; 7.797;3484.0; 2.182;297.8300;+22.7000
294.9600;+24.7800; 68;UBC1069;294.96;  0.03;+24.78; 0.04; 60.31; 0.04;  1.24; 0.02; 0.32; 0.02;-1.91; 0.05;-6.52; 0.08;      ;     ; 28;0; ; 7.386;3641.0; 2.530;294.9600;+24.7800
298.4100;+27.5700; 69;UBC1070;298.41;  0.07;+27.57; 0.04; 64.28; 0.04; -0.02; 0.07; 0.48; 0.01;-2.09; 0.03;-4.52; 0.05;      ;     ; 17;0; ; 8.066;2168.0; 1.920;298.4100;+27.5700
